customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00037,Female,0,No,No,18,Month-to-month,No,No,No,Yes,Credit card (automatic),40.8,789.3,No
CUST-00038,Female,0,No,No,43,Month-to-month,DSL,No,No,No,Credit card (automatic),60.17,2662.4,No
CUST-00039,Male,0,Yes,Yes,33,One year,Fiber optic,No,Yes,No,Mailed check,112.23,3725.12,No
CUST-00040,Female,0,Yes,Yes,69,One year,No,No,No,Yes,Bank transfer (automatic),85.51,5957.62,No
CUST-00041,Male,0,Yes,No,20,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer (automatic),50.26,1027.96,No
CUST-00042,Female,0,Yes,No,66,Two year,No,No,No,Yes,Mailed check,53.68,3591.03,No
CUST-00043,Female,0,No,No,45,Two year,DSL,No,No,No,Bank transfer (automatic),61.6,2779.26,No
CUST-00044,Male,0,No,No,54,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card (automatic),91.24,4950.96,No
CUST-00045,Male,0,Yes,No,12,Month-to-month,Fiber optic,No,No,No,Electronic check,44.97,478.55,No
CUST-00046,Female,0,Yes,No,1,One year,No,Yes,No,Yes,Credit card (automatic),43.76,79.87,Yes
CUST-00047,Male,0,No,No,53,One year,DSL,Yes,No,No,Mailed check,79.27,4138.69,No
CUST-00048,Female,0,Yes,Yes,35,Month-to-month,DSL,No,No,Yes,Credit card (automatic),31.38,1134.35,No
CUST-00049,Female,0,No,Yes,22,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,46.78,1007.21,No
CUST-00050,Female,0,Yes,Yes,65,One year,No,No,Yes,Yes,Credit card (automatic),63.3,4133.0,No
CUST-00051,Female,0,Yes,No,23,Month-to-month,No,No,No,Yes,Mailed check,64.32,1431.72,No
CUST-00052,Male,0,No,No,31,Month-to-month,No,Yes,Yes,No,Credit card (automatic),37.71,1143.83,No
CUST-00053,Male,0,Yes,Yes,52,Month-to-month,Fiber optic,No,No,Yes,Mailed check,72.07,3766.04,No
CUST-00054,Male,0,No,Yes,70,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer (automatic),76.08,5363.32,No
CUST-00055,Male,0,Yes,No,65,Two year,No,Yes,Yes,No,Bank transfer (automatic),51.75,3418.44,No
CUST-00056,Male,0,No,No,47,One year,No,Yes,No,Yes,Electronic check,98.22,4558.84,No
CUST-00057,Female,1,No,Yes,8,Month-to-month,No,Yes,No,Yes,Electronic check,71.79,499.26,Yes
CUST-00058,Male,0,No,No,7,Two year,No,No,Yes,Yes,Bank transfer (automatic),44.9,265.53,No
CUST-00059,Female,0,Yes,No,50,Month-to-month,No,No,No,Yes,Mailed check,97.42,4817.72,No
CUST-00060,Female,1,No,No,37,Month-to-month,DSL,No,Yes,No,Bank transfer (automatic),54.53,2095.95,No
CUST-00061,Female,1,No,No,9,Month-to-month,DSL,No,No,Yes,Credit card (automatic),68.58,684.23,Yes
CUST-00062,Female,0,Yes,Yes,50,One year,No,Yes,No,No,Credit card (automatic),55.26,2713.17,No
CUST-00063,Male,1,Yes,Yes,68,One year,Fiber optic,No,No,Yes,Electronic check,77.48,5354.16,No
CUST-00064,Female,1,No,No,4,Two year,DSL,No,No,Yes,Mailed check,55.37,285.5,Yes
CUST-00065,Male,0,Yes,Yes,60,Month-to-month,Fiber optic,No,No,No,Electronic check,56.58,3313.32,No
CUST-00066,Male,0,No,No,25,Month-to-month,Fiber optic,No,No,No,Bank transfer (automatic),61.8,1493.49,Yes
CUST-00067,Female,0,No,Yes,29,Month-to-month,No,Yes,Yes,Yes,Bank transfer (automatic),54.96,1510.88,Yes
CUST-00068,Male,0,Yes,No,52,Two year,No,No,Yes,Yes,Credit card (automatic),86.44,4490.55,No
CUST-00069,Male,0,No,No,18,Month-to-month,DSL,No,Yes,Yes,Mailed check,39.84,717.99,No
CUST-00070,Male,0,No,No,11,One year,Fiber optic,Yes,No,No,Mailed check,64.26,707.64,No
CUST-00071,Female,0,Yes,No,70,One year,DSL,No,No,No,Bank transfer (automatic),66.79,4573.96,No
CUST-00072,Male,0,No,No,25,Month-to-month,No,No,Yes,Yes,Electronic check,62.51,1491.39,No
CUST-00073,Male,0,Yes,Yes,12,Month-to-month,DSL,No,No,Yes,Electronic check,84.37,1025.45,Yes
CUST-00074,Male,0,Yes,No,50,Month-to-month,Fiber optic,No,No,No,Bank transfer (automatic),34.92,1777.11,No
CUST-00075,Female,0,No,Yes,15,One year,Fiber optic,No,Yes,Yes,Mailed check,76.36,1044.41,No
CUST-00076,Male,0,Yes,No,56,Two year,Fiber optic,No,Yes,No,Mailed check,40.1,2181.54,No
CUST-00077,Male,0,No,No,5,Month-to-month,Fiber optic,No,No,No,Credit card (automatic),54.82,325.22,Yes
CUST-00078,Male,1,Yes,Yes,37,Two year,Fiber optic,No,Yes,Yes,Electronic check,38.05,1346.63,No
CUST-00079,Female,1,No,Yes,29,Month-to-month,Fiber optic,Yes,No,Yes,Credit card (automatic),58.36,1691.71,No
CUST-00080,Female,1,Yes,No,69,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),53.44,3621.38,No
CUST-00081,Female,1,No,Yes,38,Two year,Fiber optic,No,No,No,Mailed check,97.77,3756.83,Yes
CUST-00082,Male,0,No,No,67,Two year,Fiber optic,No,No,No,Credit card (automatic),69.83,4577.76,No
CUST-00083,Male,0,No,Yes,18,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),73.8,1313.18,No
CUST-00084,Female,0,No,No,34,One year,Fiber optic,No,No,Yes,Mailed check,42.85,1503.92,No
CUST-00085,Female,0,No,No,59,Two year,DSL,No,No,Yes,Mailed check,79.8,4738.7,No
CUST-00086,Female,1,No,No,11,One year,No,Yes,No,No,Mailed check,97.76,1052.15,Yes
CUST-00087,Male,0,No,Yes,67,One year,DSL,Yes,No,Yes,Credit card (automatic),82.4,5485.87,No
CUST-00088,Male,0,No,No,56,Month-to-month,Fiber optic,No,Yes,No,Mailed check,38.76,2158.92,Yes
CUST-00089,Female,0,No,No,49,Month-to-month,DSL,No,No,Yes,Electronic check,55.72,2665.81,No
CUST-00090,Female,0,No,No,17,One year,Fiber optic,No,No,Yes,Bank transfer (automatic),67.17,1136.89,No
CUST-00091,Male,0,Yes,No,59,Month-to-month,DSL,No,No,Yes,Credit card (automatic),53.46,3150.0,No
CUST-00092,Female,0,No,No,61,Month-to-month,Fiber optic,No,No,No,Mailed check,115.66,7034.36,No
CUST-00093,Female,1,No,No,21,Month-to-month,DSL,No,No,No,Credit card (automatic),55.35,1212.37,No
CUST-00094,Male,0,Yes,No,42,Month-to-month,No,No,No,Yes,Mailed check,64.13,2639.94,Yes
CUST-00095,Female,0,Yes,No,4,Month-to-month,Fiber optic,No,No,Yes,Mailed check,53.0,126.78,Yes
CUST-00096,Male,0,No,No,28,Month-to-month,No,Yes,Yes,No,Bank transfer (automatic),69.63,1923.37,Yes
CUST-00097,Male,0,Yes,Yes,10,Month-to-month,Fiber optic,Yes,No,No,Electronic check,92.65,932.7,Yes
CUST-00098,Female,0,Yes,No,40,Month-to-month,Fiber optic,No,No,Yes,Credit card (automatic),67.3,2686.66,No
CUST-00099,Female,0,Yes,No,40,Two year,No,No,No,No,Bank transfer (automatic),60.62,2417.24,No
CUST-00100,Male,0,Yes,No,38,One year,DSL,No,No,No,Mailed check,43.52,1597.44,No
CUST-00101,Female,1,No,No,49,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,89.18,4320.69,No
CUST-00102,Male,0,No,No,67,Month-to-month,Fiber optic,No,No,Yes,Bank transfer (automatic),62.13,4138.29,No
CUST-00103,Female,0,No,No,14,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),61.27,829.42,No
CUST-00104,Male,0,No,No,15,One year,DSL,No,Yes,Yes,Credit card (automatic),18.22,328.2,No
CUST-00105,Female,0,No,No,15,One year,Fiber optic,Yes,No,No,Mailed check,62.46,950.1,No
CUST-00106,Female,0,Yes,No,67,One year,Fiber optic,No,Yes,Yes,Electronic check,56.98,3791.03,No
CUST-00107,Female,1,No,No,6,One year,Fiber optic,Yes,No,Yes,Mailed check,28.48,225.63,No
CUST-00108,Female,0,Yes,Yes,2,Month-to-month,DSL,No,No,Yes,Credit card (automatic),84.79,191.89,Yes
CUST-00109,Male,0,Yes,No,11,Month-to-month,Fiber optic,No,No,No,Credit card (automatic),54.3,529.42,Yes
CUST-00110,Female,0,No,No,56,Month-to-month,No,No,No,Yes,Mailed check,102.91,5600.88,No
CUST-00111,Male,0,No,No,42,Month-to-month,DSL,No,Yes,Yes,Electronic check,93.29,3851.87,No
CUST-00112,Female,0,Yes,No,67,Month-to-month,Fiber optic,No,No,Yes,Electronic check,50.6,3419.95,Yes
CUST-00113,Female,0,No,No,14,One year,No,No,No,No,Bank transfer (automatic),92.39,1338.03,No
CUST-00114,Male,0,Yes,No,28,Month-to-month,No,No,No,Yes,Electronic check,97.21,2638.87,Yes
CUST-00115,Female,0,Yes,No,40,One year,DSL,Yes,No,Yes,Bank transfer (automatic),53.82,2185.73,No
CUST-00116,Female,0,Yes,No,5,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,44.35,252.79,Yes
CUST-00117,Male,0,Yes,Yes,67,Month-to-month,DSL,Yes,No,Yes,Mailed check,21.89,1536.38,No
CUST-00118,Male,0,No,No,58,One year,No,Yes,No,No,Credit card (automatic),72.61,4258.9,No
CUST-00119,Male,1,Yes,No,10,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,45.53,522.89,No
CUST-00120,Male,0,No,No,61,Month-to-month,Fiber optic,No,No,No,Bank transfer (automatic),73.21,4490.23,No
CUST-00121,Male,0,Yes,No,32,Month-to-month,DSL,No,Yes,Yes,Mailed check,53.64,1739.23,Yes
CUST-00122,Female,0,No,No,24,One year,Fiber optic,No,Yes,Yes,Credit card (automatic),49.41,1168.98,Yes
CUST-00123,Female,0,No,Yes,69,Month-to-month,DSL,No,No,Yes,Mailed check,53.77,3751.14,No
CUST-00124,Male,0,No,Yes,37,Two year,No,Yes,No,No,Credit card (automatic),39.0,1376.38,No
CUST-00125,Female,0,Yes,No,16,Two year,Fiber optic,No,No,No,Credit card (automatic),53.76,853.23,No
CUST-00126,Female,0,No,Yes,59,Two year,Fiber optic,No,No,Yes,Mailed check,50.27,2992.92,No
CUST-00127,Male,0,No,No,52,Month-to-month,No,No,No,Yes,Electronic check,64.72,3435.85,No
CUST-00128,Female,0,Yes,No,14,One year,DSL,Yes,No,Yes,Credit card (automatic),67.09,915.36,No
CUST-00129,Female,0,Yes,Yes,49,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),43.58,2183.75,No
CUST-00130,Female,0,Yes,No,45,Two year,Fiber optic,No,Yes,Yes,Credit card (automatic),87.02,3906.04,No
CUST-00131,Female,0,Yes,No,20,Month-to-month,No,No,No,No,Mailed check,61.81,1285.55,No
CUST-00132,Female,1,Yes,No,31,Month-to-month,DSL,Yes,No,Yes,Mailed check,95.05,2906.48,Yes
CUST-00133,Male,0,Yes,No,61,Month-to-month,No,Yes,No,No,Electronic check,69.82,4295.32,No
CUST-00134,Female,0,Yes,No,12,Two year,Fiber optic,No,No,Yes,Credit card (automatic),66.38,791.79,Yes
CUST-00135,Female,1,No,Yes,52,Two year,Fiber optic,No,No,No,Credit card (automatic),55.18,2810.1,No
CUST-00136,Male,0,Yes,Yes,60,Month-to-month,Fiber optic,Yes,No,Yes,Credit card (automatic),77.3,4630.34,No
CUST-00137,Female,0,Yes,No,68,Month-to-month,DSL,No,Yes,Yes,Mailed check,65.67,4531.65,No
CUST-00138,Male,1,No,No,23,One year,DSL,No,No,No,Mailed check,82.17,1838.95,Yes
CUST-00139,Male,0,Yes,No,19,Two year,Fiber optic,No,Yes,Yes,Mailed check,97.09,1770.49,Yes
CUST-00140,Male,0,Yes,No,68,One year,Fiber optic,No,No,No,Electronic check,50.46,3451.22,No
CUST-00141,Female,0,Yes,Yes,33,Month-to-month,Fiber optic,No,No,No,Electronic check,77.27,2466.02,Yes
CUST-00142,Male,0,Yes,No,41,One year,No,No,No,No,Mailed check,76.7,3222.87,No
CUST-00143,Male,0,Yes,No,37,Two year,DSL,No,No,No,Bank transfer (automatic),74.16,2820.83,No
CUST-00144,Male,0,Yes,No,37,Month-to-month,Fiber optic,Yes,No,Yes,Credit card (automatic),56.34,2136.49,No
CUST-00145,Female,0,Yes,No,45,Month-to-month,Fiber optic,No,No,Yes,Credit card (automatic),56.74,2552.74,No
CUST-00146,Female,0,No,Yes,30,Month-to-month,DSL,Yes,Yes,No,Bank transfer (automatic),53.32,1682.83,Yes
CUST-00147,Male,0,No,Yes,28,Month-to-month,No,No,Yes,Yes,Credit card (automatic),52.93,1549.31,No
CUST-00148,Male,0,Yes,No,29,One year,No,No,No,Yes,Credit card (automatic),48.2,1371.16,Yes
CUST-00149,Female,1,Yes,No,47,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),62.91,3028.71,No
CUST-00150,Male,0,Yes,No,59,Month-to-month,No,No,Yes,No,Credit card (automatic),49.84,2894.98,No
CUST-00151,Female,0,No,No,40,Month-to-month,DSL,No,No,Yes,Credit card (automatic),73.71,2938.55,No
CUST-00152,Male,0,No,Yes,49,Two year,No,Yes,No,Yes,Electronic check,66.14,3151.19,No
CUST-00153,Female,0,Yes,No,30,Two year,No,Yes,No,No,Mailed check,68.38,2058.7,No
CUST-00154,Male,0,Yes,Yes,56,Month-to-month,DSL,No,Yes,No,Credit card (automatic),59.53,3318.95,No
CUST-00155,Male,1,Yes,Yes,28,One year,Fiber optic,No,No,Yes,Electronic check,66.38,1836.03,No
CUST-00156,Female,0,No,No,30,Month-to-month,No,No,Yes,Yes,Bank transfer (automatic),60.05,1793.22,No
CUST-00157,Male,0,No,No,4,Two year,DSL,No,Yes,No,Mailed check,80.59,293.38,Yes
CUST-00158,Female,1,Yes,No,19,One year,Fiber optic,No,No,Yes,Bank transfer (automatic),56.15,1068.93,No
CUST-00159,Female,0,No,Yes,53,Month-to-month,Fiber optic,No,No,No,Credit card (automatic),72.51,3907.21,Yes
CUST-00160,Female,0,Yes,No,6,Two year,DSL,No,Yes,No,Mailed check,38.87,180.13,No
CUST-00161,Female,0,No,No,16,Month-to-month,DSL,No,Yes,Yes,Electronic check,79.24,1310.97,No
CUST-00162,Female,0,No,No,56,One year,DSL,No,No,Yes,Mailed check,53.81,3024.12,No
CUST-00163,Male,0,Yes,No,63,Month-to-month,Fiber optic,No,No,Yes,Bank transfer (automatic),46.75,2963.96,No
CUST-00164,Male,0,Yes,No,30,One year,Fiber optic,No,Yes,Yes,Mailed check,42.22,1265.06,No
CUST-00165,Male,1,No,Yes,29,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer (automatic),40.64,1142.69,No
CUST-00166,Female,1,Yes,No,37,Month-to-month,DSL,Yes,No,Yes,Mailed check,55.37,2070.93,No
CUST-00167,Male,1,No,No,56,Month-to-month,DSL,No,Yes,No,Bank transfer (automatic),94.97,5344.26,No
CUST-00168,Male,0,Yes,No,34,Two year,Fiber optic,No,No,No,Electronic check,52.13,1732.4,Yes
CUST-00169,Male,0,No,No,12,Month-to-month,DSL,No,No,Yes,Mailed check,20.82,182.91,No
CUST-00170,Male,1,Yes,No,31,One year,Fiber optic,No,No,Yes,Mailed check,72.31,2245.88,No
CUST-00171,Male,0,Yes,No,18,Month-to-month,Fiber optic,No,No,Yes,Bank transfer (automatic),42.71,806.52,Yes
CUST-00172,Male,0,Yes,Yes,49,Two year,Fiber optic,No,No,Yes,Bank transfer (automatic),81.3,4033.95,No
CUST-00173,Female,0,Yes,No,10,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer (automatic),56.58,625.97,Yes
CUST-00174,Female,0,Yes,No,44,One year,No,No,No,Yes,Credit card (automatic),59.52,2637.45,No
CUST-00175,Female,0,No,No,9,Two year,DSL,No,Yes,Yes,Credit card (automatic),88.95,787.39,No
CUST-00176,Male,1,Yes,No,70,Month-to-month,No,Yes,No,Yes,Electronic check,77.35,5414.39,No
CUST-00177,Female,0,Yes,Yes,46,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer (automatic),40.07,1781.06,No
CUST-00178,Male,0,Yes,No,10,Two year,DSL,No,No,No,Electronic check,43.01,395.97,Yes
CUST-00179,Female,1,Yes,No,69,Month-to-month,Fiber optic,No,Yes,No,Mailed check,29.33,2021.11,No
CUST-00180,Female,0,No,No,41,Month-to-month,DSL,No,No,No,Bank transfer (automatic),117.06,4786.13,No
CUST-00181,Female,0,No,No,44,Month-to-month,Fiber optic,No,No,No,Mailed check,47.75,2105.6,Yes
CUST-00182,Male,0,Yes,No,4,Two year,No,No,Yes,Yes,Bank transfer (automatic),88.4,284.86,Yes
CUST-00183,Male,0,No,No,13,Two year,No,No,No,Yes,Credit card (automatic),54.35,648.98,No
CUST-00184,Female,0,No,No,58,One year,Fiber optic,No,Yes,No,Bank transfer (automatic),43.4,2555.98,No
CUST-00185,Male,0,No,Yes,34,One year,No,No,No,Yes,Bank transfer (automatic),65.43,2182.95,No
CUST-00186,Male,0,Yes,No,44,Month-to-month,Fiber optic,Yes,No,Yes,Credit card (automatic),58.47,2538.87,No
CUST-00187,Male,0,Yes,No,72,Month-to-month,DSL,No,No,No,Bank transfer (automatic),81.04,5839.63,No
CUST-00188,Male,0,Yes,No,31,Month-to-month,No,No,No,No,Electronic check,81.29,2473.43,Yes
CUST-00189,Male,0,No,No,27,Month-to-month,DSL,No,No,No,Bank transfer (automatic),53.2,1491.72,No
CUST-00190,Male,0,No,No,58,Month-to-month,DSL,No,No,Yes,Mailed check,36.2,2036.76,No
CUST-00191,Female,0,Yes,Yes,4,One year,DSL,No,No,No,Electronic check,41.06,164.32,No
CUST-00192,Female,1,Yes,No,33,Month-to-month,DSL,Yes,No,Yes,Credit card (automatic),19.35,601.12,Yes
CUST-00193,Female,0,No,No,62,Month-to-month,DSL,Yes,No,Yes,Credit card (automatic),59.51,3697.43,No
CUST-00194,Male,0,No,Yes,16,Month-to-month,DSL,No,No,No,Bank transfer (automatic),64.76,1011.29,No
CUST-00195,Female,0,Yes,Yes,22,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer (automatic),42.14,925.9,Yes
CUST-00196,Male,0,No,No,34,Month-to-month,Fiber optic,No,No,No,Bank transfer (automatic),39.73,1411.88,Yes
CUST-00197,Male,0,Yes,No,5,Month-to-month,No,Yes,Yes,No,Mailed check,64.68,289.03,Yes
CUST-00198,Male,0,Yes,No,5,Month-to-month,DSL,Yes,No,No,Credit card (automatic),52.36,227.01,No
CUST-00199,Male,1,No,Yes,18,Month-to-month,DSL,No,No,Yes,Bank transfer (automatic),60.74,1077.52,No
CUST-00200,Female,0,No,No,65,One year,Fiber optic,Yes,No,Yes,Mailed check,57.66,3821.6,No
CUST-00201,Male,1,No,Yes,16,Two year,DSL,No,Yes,No,Bank transfer (automatic),69.97,1115.03,No
CUST-00202,Female,1,Yes,No,53,One year,Fiber optic,No,Yes,Yes,Electronic check,53.69,2907.28,No
CUST-00203,Male,0,Yes,No,31,One year,Fiber optic,No,No,Yes,Mailed check,55.23,1703.28,Yes
CUST-00204,Female,0,Yes,No,55,Two year,No,Yes,No,Yes,Electronic check,27.36,1564.28,No
CUST-00205,Male,0,Yes,No,24,Month-to-month,DSL,Yes,No,Yes,Electronic check,63.99,1556.13,Yes
CUST-00206,Male,1,Yes,No,63,One year,Fiber optic,No,No,No,Credit card (automatic),66.77,4234.24,No
CUST-00207,Female,0,Yes,Yes,27,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,61.45,1587.36,No
CUST-00208,Female,0,Yes,No,57,Month-to-month,No,No,No,No,Credit card (automatic),103.24,5805.47,No
CUST-00209,Male,1,Yes,No,60,Month-to-month,DSL,Yes,No,Yes,Bank transfer (automatic),68.26,4149.11,No
CUST-00210,Female,0,Yes,No,31,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,61.87,1970.86,Yes
CUST-00211,Male,0,No,No,48,Two year,Fiber optic,Yes,No,Yes,Electronic check,74.98,3720.11,No
CUST-00212,Female,0,Yes,No,8,Month-to-month,DSL,No,Yes,No,Mailed check,107.26,783.78,Yes
CUST-00213,Female,1,No,No,36,One year,Fiber optic,Yes,Yes,Yes,Electronic check,70.05,2546.09,Yes
CUST-00214,Male,1,No,Yes,27,Two year,Fiber optic,Yes,Yes,Yes,Bank transfer (automatic),20.53,503.12,Yes
CUST-00215,Female,0,No,Yes,69,Month-to-month,DSL,No,No,Yes,Mailed check,73.64,5044.13,No
CUST-00216,Male,0,Yes,Yes,68,Month-to-month,Fiber optic,No,No,Yes,Electronic check,47.42,3199.45,No
CUST-00217,Male,0,Yes,No,57,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer (automatic),26.55,1532.47,Yes
CUST-00218,Male,0,No,No,69,Month-to-month,Fiber optic,Yes,No,Yes,Credit card (automatic),98.95,6794.35,No
CUST-00219,Male,0,No,No,71,Two year,DSL,No,No,Yes,Credit card (automatic),94.63,6720.41,No
CUST-00220,Female,0,Yes,No,56,One year,Fiber optic,Yes,No,No,Mailed check,46.9,2668.0,No
CUST-00221,Male,0,Yes,Yes,43,One year,DSL,No,Yes,Yes,Electronic check,47.03,2078.69,No
CUST-00222,Male,0,No,No,14,Month-to-month,Fiber optic,No,Yes,No,Credit card (automatic),68.2,989.43,Yes
CUST-00223,Female,0,Yes,Yes,59,One year,Fiber optic,Yes,Yes,No,Bank transfer (automatic),47.3,2813.29,No
CUST-00224,Male,0,No,No,14,One year,Fiber optic,No,No,No,Credit card (automatic),62.3,865.12,Yes
CUST-00225,Female,0,Yes,No,13,Month-to-month,Fiber optic,No,No,No,Electronic check,50.74,631.17,Yes
CUST-00226,Male,0,Yes,No,64,Month-to-month,DSL,No,Yes,Yes,Mailed check,56.99,3674.31,No
CUST-00227,Female,0,No,Yes,8,Month-to-month,DSL,Yes,No,Yes,Mailed check,36.91,242.73,No
CUST-00228,Female,1,Yes,Yes,10,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer (automatic),81.54,821.36,Yes
CUST-00229,Female,0,No,No,37,Two year,DSL,Yes,Yes,Yes,Bank transfer (automatic),89.08,3242.18,No
CUST-00230,Male,0,Yes,Yes,42,One year,Fiber optic,No,No,No,Bank transfer (automatic),63.0,2643.94,No
CUST-00231,Male,1,Yes,No,3,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,64.28,140.15,Yes
CUST-00232,Female,0,No,No,27,Two year,No,No,Yes,Yes,Mailed check,77.58,2074.63,No
CUST-00233,Male,0,Yes,No,16,Month-to-month,DSL,No,No,Yes,Electronic check,65.04,1006.84,Yes
CUST-00234,Female,0,Yes,Yes,22,Month-to-month,Fiber optic,No,No,No,Mailed check,99.59,2151.15,No
CUST-00235,Male,1,No,No,13,Two year,DSL,No,No,Yes,Electronic check,38.67,498.34,No
CUST-00236,Female,0,No,No,49,Two year,No,No,No,Yes,Credit card (automatic),82.22,3907.59,No
CUST-00237,Female,1,No,No,34,One year,Fiber optic,No,No,Yes,Bank transfer (automatic),62.72,2042.36,Yes
CUST-00238,Male,0,Yes,No,70,Month-to-month,Fiber optic,No,No,No,Bank transfer (automatic),42.58,3020.79,Yes
CUST-00239,Male,0,Yes,Yes,0,Two year,Fiber optic,No,No,No,Credit card (automatic),109.94,7.37,Yes
